"paperID","Article.Title","DOI","Pub_Year","Source.Title","Authors","latitude_site_decimal","longitude_site_decimal","Open_access","Data_access","survey","tot_area","BIOME_NAME","ECO_NAME","biome_keep","area_keep","district_keep","cor.lat","cor.long","cor.country","dists","tot.auth","prop.India"
"A0484","Species-Level Classification and Mapping of a Mangrove Forest Using Random Forest-Utilisation of AVIRIS-NG and Sentinel Data","https://doi.org/10.3390/rs13112027",2021,"REMOTE SENSING","Behera, MD; Barnwal, S; Paramanik, S; Das, P; Bhattyacharya, BK; Jagadish, B; Roy, PS; Ghosh, SM; Behera, SK",20.716667,86.866667,"y","n","plot-based or transects",0.1064,"Deserts & Xeric Shrublands","Godavari-Krishna mangroves",1,1,1,22.4433434,87.3238672,"India",197.95,9,1
"A0492","Population structure and regeneration status of tree species in old growth Abies pindrow dominant forest: A case study from western Himalaya, India","https://doi.org/10.1016/j.tfp.2021.100101",2021,"TREES FORESTS AND PEOPLE","Das, DS; Dash, SS; Maity, D; Rawat, DS",31.8286,77.5064,"y","y","plot-based or transects",0.008,"Montane Grasslands & Shrublands","Northwestern Himalayan alpine shrub and meadows",1,1,1,30.2278191,78.8035453,"India",216.94,6,1
"A0494","Carbon storage, flux and mitigation potential of tropical Sal mixed deciduous forest ecosystem in Chhattisgarh, India","https://doi.org/10.1016/j.jenvman.2021.112829",2021,"JOURNAL OF ENVIRONMENTAL MANAGEMENT","Raj, A; Jhariya, MK",20.49694444,81.87472222,"n","n","plot-based or transects",0.04,"Tropical & Subtropical Moist Broadleaf Forests","East Deccan moist deciduous forests",1,1,1,23.1145687,83.1885839,"India",321.47,2,1
"A0499","Tree diversity, soil organic carbon lability and ecosystem carbon storage under a fallow age chronosequence in North East India","https://doi.org/10.1016/j.indic.2021.100122",2021,"ENVIRONMENTAL AND SUSTAINABILITY INDICATORS","Nath, PC; Nath, AJ; Reang, D; Lal, R; Das, AK",26.08333334,93.08333336,"y","n","plot-based or transects",0.03195392,"Tropical & Subtropical Moist Broadleaf Forests","Meghalaya subtropical forests",1,1,1,24.6849545,92.7511682,"India",159.21,5,0.8
"A0504","Fire alters diversity, composition, and structure of dry tropical forests in the Eastern Ghats","https://doi.org/10.1002/ece3.7514",2021,"ECOLOGY AND EVOLUTION","Neeraja, UV; Rajendrakumar, S; Saneesh, CS; Dyda, V; Knight, TM",14.02222,78.39028,"y","y","plot-based or transects",0.00675442420521806,"Deserts & Xeric Shrublands","Deccan thorn scrub forests",1,1,1,51.3300491,12.392515,"Germany",7142.91,9,0.333333333333333
"A0505","Evaluating the Role of Community-Managed Forest in Carbon Sequestration and Climate Change Mitigation of Tripura, India","https://doi.org/10.1007/s11270-021-05133-z",2021,"WATER AIR AND SOIL POLLUTION","Deb, D; Jamatia, M; Debbarma, J; Ahirwal, J; Deb, S; Sahoo, UK",23.73333333,91.15833334,"y","y","plot-based or transects",0.018,"Tropical & Subtropical Moist Broadleaf Forests","Lower Gangetic Plains moist deciduous forests",1,1,1,23.7332381,92.6654329,"India",153.58,6,1
"A0538","Short-term girth increment and biomass changes in tree species of Javadhu hills, Eastern Ghats, Tamil Nadu, India","https://doi.org/10.1016/j.tfp.2021.100081",2021,"TREES FORESTS AND PEOPLE","Tamilselvan, B; Sekar, T; Anbarashan, M",16.75000003,81.6666667,"y","y","plot-based or transects",0.1,"Tropical & Subtropical Moist Broadleaf Forests","East Deccan moist deciduous forests",1,1,1,11.9415915,79.8083133,"India",571.54,3,1
"A0546","Seasonal dynamics in soil microbial biomass C, N and P in a temperate forest ecosystem of Uttarakhand, India","https://doi.org/10.1007/s42965-021-00153-6",2021,"TROPICAL ECOLOGY","Rawat, M; Arunachalam, K; Arunachalam, A",30.46738889,78.09663889,"y","n","plot-based or transects",0.002,"Tropical & Subtropical Moist Broadleaf Forests","Upper Gangetic Plains moist deciduous forests",1,1,1,30.2690156,78.0442659,"India",22.65,3,1
"A0549","Quantitative assessment of vegetation layers in tropical evergreen forests of Arunachal Pradesh, Eastern Himalaya, India","https://doi.org/10.18520/cs/v120/i5/850-858",2021,"CURRENT SCIENCE","Dash, SS; Panday, S; Rawat, DS; Kumar, V; Lahiri, S; Sinha, BK; Singh, P",27.51666667,96.60833336,"y","n","plot-based or transects",0.0228,"Temperate Broadleaf & Mixed Forests","Eastern Himalayan broadleaf forests",1,1,1,22.5096075,88.3339513,"India",1003.23,7,1
"A0550","Studies on subalpine forests of Hamta Pass area in Himachal Pradesh, India with a focus on Betula utilis populations","https://doi.org/10.18520/cs/v120/i5/872-882",2021,"CURRENT SCIENCE","Dasila, K; Samant, SS; Pandey, A",32.25,77.5,"y","n","plot-based or transects",0.001,"Montane Grasslands & Shrublands","Northwestern Himalayan alpine shrub and meadows",1,1,1,31.0679382,77.180149,"India",135.03,3,1
